userId,age,gender,location
234,45,Other,Chicago
235,27,Other,Chicago
236,29,Male,Seattle
237,40,Other,New York
238,32,Female,San Francisco
239,55,Female,Chicago
240,34,Other,Los Angeles
241,33,Male,New York
242,43,Female,Seattle
243,31,Other,New York
244,21,Male,Los Angeles
245,46,Female,New York
246,57,Other,San Francisco
247,19,Female,San Francisco
248,56,Other,Seattle
249,23,Male,Chicago
250,51,Other,Seattle
251,30,Female,Chicago
252,46,Female,Chicago
253,52,Other,New York
254,38,Male,Chicago
255,32,Female,San Francisco
256,42,Other,Seattle
257,56,Female,Chicago
258,52,Female,Los Angeles
259,27,Other,Los Angeles
260,60,Male,San Francisco
261,52,Other,Seattle
262,58,Female,San Francisco
263,55,Female,Los Angeles
264,39,Other,Chicago
265,40,Female,San Francisco
266,31,Male,Los Angeles
