userId,age,gender,location
201,24,Female,Seattle
202,28,Female,Seattle
203,40,Other,Seattle
204,28,Female,Seattle
205,47,Male,Seattle
206,47,Male,San Francisco
207,36,Female,Seattle
208,27,Other,Seattle
209,19,Other,San Francisco
210,19,Other,Seattle
211,48,Other,San Francisco
212,27,Female,Seattle
213,34,Female,New York
214,59,Other,Seattle
215,36,Female,Chicago
216,58,Other,San Francisco
217,40,Female,Seattle
218,30,Female,Chicago
219,28,Male,San Francisco
220,50,Female,Chicago
221,37,Male,New York
222,45,Male,New York
223,31,Other,New York
224,52,Other,Los Angeles
225,37,Male,Seattle
226,30,Other,Los Angeles
227,47,Female,Chicago
228,39,Female,Chicago
229,36,Other,Chicago
230,28,Male,San Francisco
231,51,Other,Los Angeles
232,26,Female,San Francisco
233,34,Male,Seattle
