userId,age,gender,location
334,19,Female,Seattle
335,26,Female,Chicago
336,21,Other,Seattle
337,32,Female,Seattle
338,38,Female,Chicago
339,59,Male,Seattle
340,41,Male,San Francisco
341,28,Female,San Francisco
342,33,Other,Seattle
343,27,Male,Seattle
344,32,Other,San Francisco
345,27,Other,New York
346,49,Female,Seattle
347,28,Female,Chicago
348,39,Other,San Francisco
349,41,Female,Chicago
350,41,Female,San Francisco
351,40,Other,San Francisco
352,47,Other,New York
353,22,Female,Chicago
354,19,Female,Chicago
355,21,Male,New York
356,57,Female,New York
357,56,Female,New York
358,42,Female,New York
359,20,Other,Seattle
360,23,Other,Chicago
361,24,Male,Seattle
362,49,Other,San Francisco
363,43,Male,New York
364,32,Male,New York
365,19,Other,Los Angeles
366,18,Female,Seattle
