userId,age,gender,location
101,42,Female,Seattle
102,25,Female,New York
103,42,Male,Los Angeles
104,60,Female,Seattle
105,58,Female,Los Angeles
106,19,Other,New York
107,28,Male,Seattle
108,19,Female,Chicago
109,57,Male,Seattle
110,20,Female,Chicago
111,39,Female,San Francisco
112,49,Other,Chicago
113,57,Other,Los Angeles
114,33,Other,San Francisco
115,51,Male,San Francisco
116,23,Other,San Francisco
117,42,Male,San Francisco
118,57,Female,Los Angeles
119,42,Female,Seattle
120,53,Male,San Francisco
121,18,Female,Seattle
122,52,Other,Los Angeles
123,42,Female,Los Angeles
124,51,Male,Chicago
125,30,Female,San Francisco
126,38,Male,San Francisco
127,37,Male,New York
128,24,Other,San Francisco
129,56,Other,New York
130,45,Male,New York
131,59,Female,New York
132,48,Male,Seattle
133,44,Male,Seattle
