userId,age,gender,location
134,55,Male,Chicago
135,25,Other,San Francisco
136,22,Other,San Francisco
137,56,Male,New York
138,46,Male,New York
139,55,Female,Chicago
140,39,Other,New York
141,36,Other,Chicago
142,54,Female,Los Angeles
143,56,Female,Los Angeles
144,24,Male,Seattle
145,32,Female,New York
146,47,Female,Seattle
147,37,Female,New York
148,37,Female,Seattle
149,44,Female,Chicago
150,30,Other,San Francisco
151,28,Female,San Francisco
152,52,Female,New York
153,59,Other,Seattle
154,37,Female,Los Angeles
155,50,Male,Seattle
156,36,Male,Chicago
157,25,Female,San Francisco
158,43,Male,San Francisco
159,29,Other,Seattle
160,34,Female,Chicago
161,54,Female,San Francisco
162,23,Male,San Francisco
163,26,Female,Seattle
164,60,Female,New York
165,55,Female,Los Angeles
166,36,Male,New York
