userId,age,gender,location
267,28,Female,San Francisco
268,28,Female,San Francisco
269,42,Other,Los Angeles
270,30,Female,Seattle
271,26,Male,New York
272,50,Other,Chicago
273,40,Other,San Francisco
274,56,Male,San Francisco
275,18,Male,San Francisco
276,37,Other,Los Angeles
277,42,Female,Seattle
278,28,Female,Los Angeles
279,30,Male,Seattle
280,57,Female,Seattle
281,28,Male,New York
282,46,Male,Chicago
283,53,Other,New York
284,42,Female,Seattle
285,52,Male,Seattle
286,23,Female,San Francisco
287,36,Other,Los Angeles
288,60,Male,New York
289,51,Other,Los Angeles
290,51,Other,Chicago
291,38,Male,San Francisco
292,60,Female,Los Angeles
293,47,Male,New York
294,23,Male,New York
295,54,Other,New York
296,44,Other,Los Angeles
297,32,Male,Seattle
298,33,Male,Chicago
299,26,Female,Los Angeles
300,34,Male,San Francisco
