userId,age,gender,location
167,32,Male,New York
168,56,Male,Seattle
169,44,Male,New York
170,58,Female,Seattle
171,27,Other,Chicago
172,20,Other,New York
173,59,Female,New York
174,23,Other,Los Angeles
175,44,Female,Chicago
176,19,Female,New York
177,19,Other,Chicago
178,36,Other,Seattle
179,45,Other,Seattle
180,48,Other,San Francisco
181,57,Female,Seattle
182,27,Male,Los Angeles
183,45,Male,New York
184,43,Female,Chicago
185,60,Male,San Francisco
186,57,Male,San Francisco
187,35,Male,San Francisco
188,45,Other,San Francisco
189,53,Other,San Francisco
190,47,Male,Seattle
191,58,Female,Los Angeles
192,49,Other,Seattle
193,48,Other,Chicago
194,27,Female,Seattle
195,42,Male,Seattle
196,38,Other,San Francisco
197,26,Male,New York
198,58,Male,San Francisco
199,57,Female,New York
200,32,Female,San Francisco
