userId,age,gender,location
301,60,Male,New York
302,23,Female,New York
303,29,Male,Chicago
304,40,Other,Chicago
305,52,Male,Chicago
306,46,Male,San Francisco
307,48,Male,Chicago
308,25,Male,San Francisco
309,57,Female,Chicago
310,33,Other,New York
311,40,Male,Seattle
312,43,Female,San Francisco
313,48,Other,San Francisco
314,50,Male,Chicago
315,50,Female,Seattle
316,32,Other,Seattle
317,20,Other,Seattle
318,39,Other,Chicago
319,59,Other,Los Angeles
320,28,Other,Chicago
321,40,Other,San Francisco
322,36,Other,Los Angeles
323,58,Male,San Francisco
324,39,Other,Los Angeles
325,47,Male,New York
326,38,Male,San Francisco
327,28,Other,Seattle
328,30,Male,Los Angeles
329,38,Male,Seattle
330,29,Male,New York
331,52,Female,Chicago
332,25,Female,New York
333,49,Male,New York
